0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96 ,0.96
0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98 ,0.98
1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1
1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02
1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04 ,1.04
