0.01,0.08,0.01,-4.92559,2.7493,
0.1,0.83,0.22,3.56825,0.0047875,
0.28,0.88,0.33,7.61919,0.0183111,
0.5,0.93,0.38,11.8033,0.0455137,
0.75,0.9,0.5,16.1262,0.088031,
1,0.93,0.57,20.1826,0.131877,
