3.01829 ,3.01528 ,3.01436 ,3.01318 ,3.01303 ,3.01164 ,3.00942 ,3.009 ,3.00882 ,3.00792 ,3.00718 ,3.0067
3.01369 ,3.01366 ,3.01118 ,3.0114 ,3.00922 ,3.00912 ,3.00851 ,3.00632 ,3.00679 ,3.00558 ,3.00594 ,3.00547
3.01134 ,3.01092 ,3.01009 ,3.00919 ,3.00775 ,3.00722 ,3.00499 ,3.00523 ,3.00456 ,3.00401 ,3.00363 ,3.00458
3.00894 ,3.00843 ,3.00674 ,3.00672 ,3.00542 ,3.00472 ,3.00406 ,3.00347 ,3.00261 ,3.00274 ,3.00308 ,3.00226
3.00717 ,3.00599 ,3.00573 ,3.00444 ,3.00428 ,3.00316 ,3.00297 ,3.00233 ,3.00251 ,3.00213 ,3.00225 ,3.00172
3.00586 ,3.00456 ,3.00419 ,3.00302 ,3.0028 ,3.00225 ,3.00115 ,3.00157 ,3.0011 ,3.00121 ,3.00132 ,3.00125
3.00373 ,3.00373 ,3.00226 ,3.00229 ,3.00197 ,3.00156 ,3.00107 ,3.00085 ,3.00085 ,3.00072 ,3.00089 ,3.00102
3.00308 ,3.00268 ,3.00146 ,3.00141 ,3.00116 ,3.00069 ,3.00043 ,3.00065 ,3.00056 ,3.00091 ,3.0008 ,3.0011
3.00219 ,3.00177 ,3.00085 ,3.00086 ,3.00039 ,3.00031 ,3.00051 ,3.00022 ,3.00062 ,3.00069 ,3.00112 ,3.00129
3.00163 ,3.00084 ,3.00056 ,3.00048 ,3.00034 ,3.00039 ,3.0003 ,3.00052 ,3.00078 ,3.00111 ,3.00179 ,3.00204
3.00126 ,3.00054 ,3.00048 ,3.00043 ,3.00038 ,3.00052 ,3.00053 ,3.0009 ,3.00127 ,3.00161 ,3.00166 ,3.00246
3.00086 ,3.00081 ,3.00083 ,3.0007 ,3.0011 ,3.00119 ,3.00139 ,3.00155 ,3.00156 ,3.00272 ,3.00297 ,3.00354
3.00125 ,3.00102 ,3.00101 ,3.00106 ,3.00152 ,3.00159 ,3.00203 ,3.00219 ,3.00296 ,3.00327 ,3.00359 ,3.00469
3.00176 ,3.00163 ,3.00134 ,3.00187 ,3.00224 ,3.00247 ,3.00337 ,3.00392 ,3.0043 ,3.00531 ,3.00584 ,3.00637
3.00182 ,3.00167 ,3.00221 ,3.0027 ,3.00324 ,3.00351 ,3.0045 ,3.00429 ,3.00529 ,3.00631 ,3.0071 ,3.00839
3.00304 ,3.00321 ,3.00395 ,3.00416 ,3.0041 ,3.0051 ,3.00529 ,3.0072 ,3.00757 ,3.00769 ,3.00849 ,3.01024
3.0042 ,3.00463 ,3.00493 ,3.00529 ,3.00572 ,3.00658 ,3.00742 ,3.00809 ,3.00973 ,3.00989 ,3.01173 ,3.01068
3.00554 ,3.0054 ,3.00634 ,3.00544 ,3.00704 ,3.00876 ,3.00893 ,3.0104 ,3.01138 ,3.01142 ,3.01359 ,3.01452
3.00676 ,3.00699 ,3.00672 ,3.0092 ,3.00925 ,3.00953 ,3.01156 ,3.01174 ,3.01379 ,3.01375 ,3.01586 ,3.01656
3.00889 ,3.00941 ,3.00973 ,3.01042 ,3.01138 ,3.01231 ,3.01339 ,3.01475 ,3.01582 ,3.01701 ,3.01788 ,3.0187
3.01102 ,3.01076 ,3.0125 ,3.0129 ,3.01373 ,3.01582 ,3.01536 ,3.01635 ,3.01844 ,3.01947 ,3.0211 ,3.02027
3.01275 ,3.01428 ,3.01415 ,3.01271 ,3.01645 ,3.01799 ,3.01772 ,3.01884 ,3.02093 ,3.02288 ,3.02511 ,3.02521
